,minute_regulation,match_id,player_id,family_name,given_name,Event
111,84,M-1974-24,P-03832,Musiał,Adam,2
112,16,M-1974-25,P-08882,Overath,Wolfgang,2
113,35,M-1974-25,P-00117,Vogts,Berti,2
114,36,M-1974-25,P-01864,Buljan,Ivan,2
115,61,M-1974-25,P-06843,Hadžiabdić,Enver,2
116,11,M-1974-26,P-02662,Hamann,Erich,2
117,27,M-1974-26,P-02071,Jairzinho,not applicable,2
118,28,M-1974-26,P-01158,Carpegiani,not applicable,2
119,75,M-1974-26,P-01410,Dirceu,not applicable,2
120,84,M-1974-26,P-08069,Streich,Joachim,2
121,22,M-1974-27,P-01377,Neeskens,Johan,2
122,35,M-1974-27,P-05455,Perfumo,Roberto,2
123,58,M-1974-27,P-07503,Suurbier,Wim,2
124,44,M-1974-28,P-02870,Szarmach,Andrzej,2
125,49,M-1974-28,P-05529,Gorgoń,Jerzy,2
126,72,M-1974-29,P-05920,Houseman,René,2
127,45,M-1974-32,P-01668,Grahn,Ove,2
128,23,M-1974-34,P-08971,Sparwasser,Jürgen,2
129,68,M-1974-34,P-05638,Bargas,Ángel,2
130,29,M-1974-35,P-07503,Suurbier,Wim,2
131,29,M-1974-35,P-01022,Pereira,Luís,2
132,37,M-1974-35,P-06055,Zé Maria,not applicable,2
133,44,M-1974-35,P-08407,Peres,Marinho,2
134,69,M-1974-35,P-07354,Rep,Johnny,2
135,84,M-1974-35,P-01022,Pereira,Luís,3
136,26,M-1974-36,P-03958,Katalinski,Josip,2
137,86,M-1974-36,P-06709,Karasi,Stanislav,2
138,71,M-1974-37,P-08677,Kasperczak,Henryk,2
139,76,M-1974-37,P-02071,Jairzinho,not applicable,2
140,4,M-1974-38,P-00117,Vogts,Berti,2
141,23,M-1974-38,P-08482,van Hanegem,Willem,2
142,40,M-1974-38,P-01377,Neeskens,Johan,2
143,45,M-1974-38,P-02702,Cruyff,Johan,2
144,35,M-1978-02,P-07826,Tardelli,Marco,2
145,60,M-1978-02,P-09482,Platini,Michel,2
146,81,M-1978-02,P-06484,Michel,Henri,2
147,21,M-1978-04,P-04962,Nyilasi,Tibor,2
148,48,M-1978-04,P-00918,Törőcsik,András,2
149,77,M-1978-04,P-03896,Passarella,Daniel,2
150,88,M-1978-04,P-00918,Törőcsik,András,3
151,89,M-1978-04,P-04962,Nyilasi,Tibor,3
152,74,M-1978-06,P-04268,Wendt,Benny,2
153,87,M-1978-06,P-03913,Oscar,not applicable,2
154,19,M-1978-08,P-00798,Velásquez,José,2
155,26,M-1978-09,P-09061,Zombori,Sándor,2
